,stopid,stop_name,stop_lat,stop_lon,direction
1,2,"Rotunda, Parnell Square West",53.3522443611383,-6.26372321891887,38 to Damastown
75,2,"Rotunda, Parnell Square West",53.3522443611383,-6.26372321891887,38A to Damastown
142,2,"Rotunda, Parnell Square West",53.3522443611383,-6.26372321891887,38B to Damastown
147,2,"Rotunda, Parnell Square West",53.3522443611383,-6.26372321891887,38D to Damastown
148,2,"Rotunda, Parnell Square West",53.3522443611383,-6.26372321891887,46A to Phoenix Pk
153,2,"Rotunda, Parnell Square West",53.3522443611383,-6.26372321891887,46A to Phoenix Pk
157,2,"Rotunda, Parnell Square West",53.3522443611383,-6.26372321891887,46A to Phoenix Pk
158,2,"Rotunda, Parnell Square West",53.3522443611383,-6.26372321891887,46A to Phoenix Pk
435,2,"Rotunda, Parnell Square West",53.3522443611383,-6.26372321891887,46E to Mountjoy Sq
437,3,"Rotunda, Granby Place",53.35230855143251,-6.26381074216825,120 to Ashtown Stn
562,3,"Rotunda, Granby Place",53.35230855143251,-6.26381074216825,120 to Ashtown Stn
565,3,"Rotunda, Granby Place",53.35230855143251,-6.26381074216825,122 to Ashington
708,4,"Rotunda, Rotunda Hospital",53.352574513185,-6.26417548603797,7 to Mountjoy Square
800,4,"Rotunda, Rotunda Hospital",53.352574513185,-6.26417548603797,7A to Mountjoy Square
894,4,"Rotunda, Rotunda Hospital",53.352574513185,-6.26417548603797,7B to Mountjoy Square
899,4,"Rotunda, Rotunda Hospital",53.352574513185,-6.26417548603797,7D to Mountjoy Square
901,4,"Rotunda, Rotunda Hospital",53.352574513185,-6.26417548603797,7D to Mountjoy Square
902,4,"Rotunda, Rotunda Hospital",53.352574513185,-6.26417548603797,9 to Charlestown
1069,4,"Rotunda, Rotunda Hospital",53.352574513185,-6.26417548603797,9 to Charlestown
1073,6,"Rotunda, Saint Martin's Chapel",53.3527493357046,-6.264453803964338,4 to Harristown
1179,7,"Rotunda, Rotunda Hospital",53.352840910578394,-6.26457026121749,13 to Harristown
1254,7,"Rotunda, Rotunda Hospital",53.352840910578394,-6.26457026121749,13 to Harristown
1316,7,"Rotunda, Rotunda Hospital",53.352840910578394,-6.26457026121749,13 to Harristown
1334,7,"Rotunda, Rotunda Hospital",53.352840910578394,-6.26457026121749,13 to Harristown
1335,7,"Rotunda, Rotunda Hospital",53.352840910578394,-6.26457026121749,140 to IKEA
1486,7,"Rotunda, Rotunda Hospital",53.352840910578394,-6.26457026121749,40 to Charlestown
1705,7,"Rotunda, Rotunda Hospital",53.352840910578394,-6.26457026121749,40 to Charlestown
1707,7,"Rotunda, Rotunda Hospital",53.352840910578394,-6.26457026121749,40B to Toberburr
1719,7,"Rotunda, Rotunda Hospital",53.352840910578394,-6.26457026121749,40D to Tyrrelstown
1808,8,"Rotunda, Parnell Square West",53.3532722714822,-6.265183676574,16 to Dublin Airport
